folder,filename,type,width,height,duration,path
editorial,atelier-arches.webp,.webp,2400,4267,,/Users/ryanz/maison-tanneurs-storefront/public/tanneurs/editorial/atelier-arches.webp
editorial,atelier-corridor-m.webp,.webp,1000,572,,/Users/ryanz/maison-tanneurs-storefront/public/tanneurs/editorial/atelier-corridor-m.webp
editorial,atelier-corridor.webp,.webp,2600,1486,,/Users/ryanz/maison-tanneurs-storefront/public/tanneurs/editorial/atelier-corridor.webp
editorial,atelier-table.webp,.webp,1800,3200,,/Users/ryanz/maison-tanneurs-storefront/public/tanneurs/editorial/atelier-table.webp
editorial,boutique-court.webp,.webp,2400,1598,,/Users/ryanz/maison-tanneurs-storefront/public/tanneurs/editorial/boutique-court.webp
editorial,boutique-worktable.webp,.webp,2000,1125,,/Users/ryanz/maison-tanneurs-storefront/public/tanneurs/editorial/boutique-worktable.webp
editorial,closing-plinth-m.webp,.webp,900,507,,/Users/ryanz/maison-tanneurs-storefront/public/tanneurs/editorial/closing-plinth-m.webp
editorial,closing-plinth.webp,.webp,3200,1800,,/Users/ryanz/maison-tanneurs-storefront/public/tanneurs/editorial/closing-plinth.webp
editorial,collection-arch-m.webp,.webp,900,1600,,/Users/ryanz/maison-tanneurs-storefront/public/tanneurs/editorial/collection-arch-m.webp
editorial,collection-arch.webp,.webp,1800,3200,,/Users/ryanz/maison-tanneurs-storefront/public/tanneurs/editorial/collection-arch.webp
editorial,craft-artisan-window-m.webp,.webp,1000,1778,,/Users/ryanz/maison-tanneurs-storefront/public/tanneurs/editorial/craft-artisan-window-m.webp
editorial,craft-artisan-window.webp,.webp,1800,3200,,/Users/ryanz/maison-tanneurs-storefront/public/tanneurs/editorial/craft-artisan-window.webp
editorial,craft-emboss.webp,.webp,1600,2400,,/Users/ryanz/maison-tanneurs-storefront/public/tanneurs/editorial/craft-emboss.webp
editorial,craft-promise.webp,.webp,1600,1600,,/Users/ryanz/maison-tanneurs-storefront/public/tanneurs/editorial/craft-promise.webp
editorial,duo-noir-pedestal-m.webp,.webp,900,1195,,/Users/ryanz/maison-tanneurs-storefront/public/tanneurs/editorial/duo-noir-pedestal-m.webp
editorial,duo-noir-pedestal.webp,.webp,1920,2549,,/Users/ryanz/maison-tanneurs-storefront/public/tanneurs/editorial/duo-noir-pedestal.webp
editorial,duo-noir-sun-m.webp,.webp,900,1158,,/Users/ryanz/maison-tanneurs-storefront/public/tanneurs/editorial/duo-noir-sun-m.webp
editorial,duo-noir-sun.webp,.webp,1920,2469,,/Users/ryanz/maison-tanneurs-storefront/public/tanneurs/editorial/duo-noir-sun.webp
editorial,heritage-tannery.webp,.webp,2400,4267,,/Users/ryanz/maison-tanneurs-storefront/public/tanneurs/editorial/heritage-tannery.webp
editorial,hero-ryad-16x9.webp,.webp,3840,2160,,/Users/ryanz/maison-tanneurs-storefront/public/tanneurs/editorial/hero-ryad-16x9.webp
editorial,hero-ryad-9x16.webp,.webp,1440,2560,,/Users/ryanz/maison-tanneurs-storefront/public/tanneurs/editorial/hero-ryad-9x16.webp
editorial,hero-shop-16x9.webp,.webp,3840,2144,,/Users/ryanz/maison-tanneurs-storefront/public/tanneurs/editorial/hero-shop-16x9.webp
editorial,hero-shop-9x16.webp,.webp,1080,1935,,/Users/ryanz/maison-tanneurs-storefront/public/tanneurs/editorial/hero-shop-9x16.webp
editorial,statement-hall-m.webp,.webp,900,701,,/Users/ryanz/maison-tanneurs-storefront/public/tanneurs/editorial/statement-hall-m.webp
editorial,statement-hall.webp,.webp,3200,2489,,/Users/ryanz/maison-tanneurs-storefront/public/tanneurs/editorial/statement-hall.webp
editorial,trade-gifting.webp,.webp,2400,1029,,/Users/ryanz/maison-tanneurs-storefront/public/tanneurs/editorial/trade-gifting.webp
editorial,trade-hospitality.webp,.webp,2400,1029,,/Users/ryanz/maison-tanneurs-storefront/public/tanneurs/editorial/trade-hospitality.webp
editorial,trade-retail.webp,.webp,2400,4250,,/Users/ryanz/maison-tanneurs-storefront/public/tanneurs/editorial/trade-retail.webp
editorial,travel-olive-parapet-m.webp,.webp,1000,563,,/Users/ryanz/maison-tanneurs-storefront/public/tanneurs/editorial/travel-olive-parapet-m.webp
editorial,travel-olive-parapet.webp,.webp,3200,1800,,/Users/ryanz/maison-tanneurs-storefront/public/tanneurs/editorial/travel-olive-parapet.webp
films,hero-terrace-poster.jpg,.jpg,1920,1080,,/Users/ryanz/maison-tanneurs-storefront/public/tanneurs/films/hero-terrace-poster.jpg
films,hero-terrace.mp4,.mp4,0,0,,/Users/ryanz/maison-tanneurs-storefront/public/tanneurs/films/hero-terrace.mp4
films,the-departure-poster.jpg,.jpg,1280,720,,/Users/ryanz/maison-tanneurs-storefront/public/tanneurs/films/the-departure-poster.jpg
films,the-departure.mp4,.mp4,0,0,,/Users/ryanz/maison-tanneurs-storefront/public/tanneurs/films/the-departure.mp4
